crime type,region,data
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
anti-social-behaviour,North East,2017-01
